"","Phylum","Class","Order","Family","WW","SM"
"111","Proteobacteria","Alphaproteobacteria","Rickettsiales","S25-593",NA,4
"112","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA,2
"113","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I",1,2
"114","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II",NA,4
"115","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_III",1,2
"116","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_IV",NA,2
"117","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",1,10
"118","Proteobacteria","Alphaproteobacteria","Thalassobaculales","Nisaeaceae",1,2
"119","Proteobacteria","Alphaproteobacteria","Thalassobaculales","Thalassobaculaceae",1,NA
"120","Proteobacteria","Alphaproteobacteria","Thalassobaculales",NA,1,NA
"121","Proteobacteria","Alphaproteobacteria",NA,NA,NA,1
"122","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae",4,NA
"123","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",4,NA
"124","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae",1,NA
"125","Proteobacteria","Gammaproteobacteria","Alteromonadales","Psychromonadaceae",1,NA
"126","Proteobacteria","Gammaproteobacteria","B2M28",NA,1,NA
"127","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",1,NA
"128","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chitinimonadaceae",1,NA
"129","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",23,NA
"130","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae",2,1
"131","Proteobacteria","Gammaproteobacteria","Burkholderiales","MWH-UniP1_aquatic_group",NA,2
"132","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae",2,NA
"133","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae",1,1
"134","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",4,NA
"135","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",1,2
"136","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae",18,5
"137","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae",3,5
"138","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae",1,1
"139","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae",1,NA
"140","Proteobacteria","Gammaproteobacteria","Chromatiales","Sedimenticolaceae",4,NA
"141","Proteobacteria","Gammaproteobacteria","Competibacterales","Competibacteraceae",1,NA
"142","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae",1,3
"143","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",1,NA
"144","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae",1,2
"145","Proteobacteria","Gammaproteobacteria","Ga0077536",NA,NA,2
"146","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family",4,NA
"147","Proteobacteria","Gammaproteobacteria","HOC36",NA,NA,1
"148","Proteobacteria","Gammaproteobacteria","KI89A_clade",NA,NA,4
"149","Proteobacteria","Gammaproteobacteria","MBAE14",NA,1,NA
"150","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae",1,NA
"151","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae",NA,1
"152","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae1",1,NA
"153","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae",NA,1
"154","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Hahellaceae",1,NA
"155","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae",1,1
"156","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",4,NA
"157","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oleiphilaceae",1,NA
"158","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae",2,4
"159","Proteobacteria","Gammaproteobacteria","Oceanospirillales",NA,NA,1
"160","Proteobacteria","Gammaproteobacteria","OM182_clade",NA,1,3
"161","Proteobacteria","Gammaproteobacteria","Piscirickettsiales","Piscirickettsiaceae",NA,1
"162","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",6,NA
"163","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",1,NA
"164","Proteobacteria","Gammaproteobacteria","SAR86_clade",NA,2,18
"165","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",1,3
"166","Proteobacteria","Gammaproteobacteria","Tenderiales","Tenderiaceae",NA,2
"167","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thioglobaceae",NA,2
"168","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thiomicrospiraceae",4,NA
"169","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",1,NA
"170","Proteobacteria","Gammaproteobacteria","UBA10353_marine_group",NA,NA,2
"171","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae",4,4
"172","Proteobacteria","Gammaproteobacteria",NA,NA,2,1
"173","SAR324_clade(Marine_group_B)",NA,NA,NA,NA,2
"174","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae",1,NA
"175","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae",4,NA
"176","Verrucomicrobiota","Chlamydiae","Chlamydiales","Criblamydiaceae",NA,1
"177","Verrucomicrobiota","Chlamydiae","Chlamydiales","cvE6",1,NA
"178","Verrucomicrobiota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae",4,2
"179","Verrucomicrobiota","Kiritimatiellae","WCHB1-41",NA,1,NA
"180","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae",1,NA
"181","Verrucomicrobiota","Omnitrophia","Omnitrophales",NA,1,NA
"182","Verrucomicrobiota","Verrucomicrobiae","LD1-PB3",NA,1,NA
"183","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae",1,NA
"184","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae",NA,13
"185","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007",1,2
"186","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae",5,NA
